Iteration	1	2	3	4	5	simmap
108400	{3,3.32802}	{4,0.813908:2,0.694788:6,0.19355:3,2.15878}	{4,0.181156:1,0.357649:4,0.387771:1,1.58618:5,0.692819:3,0.122443}	{3,0.533013}	{3,0}	((n1:{4,0.181156:1,0.357649:4,0.387771:1,1.58618:5,0.692819:3,0.122443},n2:{3,3.32802}):{3,0.533013},n0:{4,0.813908:2,0.694788:6,0.19355:3,2.15878});
108500	{3,1.76499:6,0.689202:3,0.844681}	{4,0.0522964:1,0.197723:5,0.655908:3,1.77958}	{4,0.0270847:2,0.605893:6,0.0556391:2,0.550899:6,1.02816:3,0.417832}	{3,0.613364}	{3,0}	((n1:{4,0.0270847:2,0.605893:6,0.0556391:2,0.550899:6,1.02816:3,0.417832},n0:{4,0.0522964:1,0.197723:5,0.655908:3,1.77958}):{3,0.613364},n2:{3,1.76499:6,0.689202:3,0.844681});
108600	{3,2.79641}	{4,0.823623:1,1.3975:5,0.621727:7,0.337938:5,0.335954:3,0.119375}	{4,0.822808:7,0.268966:6,0.765963:3,0.938672}	{3,0.839705}	{3,0}	((n2:{3,2.79641},n1:{4,0.822808:7,0.268966:6,0.765963:3,0.938672}):{3,0.839705},n0:{4,0.823623:1,1.3975:5,0.621727:7,0.337938:5,0.335954:3,0.119375});
108700	{3,2.18021}	{4,0.131797:1,0.234499:4,0.0319625:2,0.999728:6,0.776508:3,1.02234}	{4,0.418847:7,0.0463702:4,0.0265509:2,0.705094:4,0.365116:7,0.144486:5,0.0599497:3,0.413799}	{3,1.01662}	{3,0}	((n1:{4,0.418847:7,0.0463702:4,0.0265509:2,0.705094:4,0.365116:7,0.144486:5,0.0599497:3,0.413799},n2:{3,2.18021}):{3,1.01662},n0:{4,0.131797:1,0.234499:4,0.0319625:2,0.999728:6,0.776508:3,1.02234});
108800	{3,1.2447:6,0.254518:3,1.58355}	{4,0.576047:7,0.291:5,0.806907:3,1.40881}	{4,0.249694:2,0.724614:6,2.02889:3,0.820812}	{3,0.741252}	{3,0}	((n0:{4,0.576047:7,0.291:5,0.806907:3,1.40881},n2:{3,1.2447:6,0.254518:3,1.58355}):{3,0.741252},n1:{4,0.249694:2,0.724614:6,2.02889:3,0.820812});
108900	{3,1.12296:5,0.792708:3,0.465814:5,0.424778:3,0.766459}	{4,0.320553:1,2.00791:5,0.971165:3,0.316486}	{4,0.782727:1,1.13065:5,1.56516:3,0.0941839}	{3,0.0433916}	{3,0}	(n0:{4,0.320553:1,2.00791:5,0.971165:3,0.316486},(n1:{4,0.782727:1,1.13065:5,1.56516:3,0.0941839},n2:{3,1.12296:5,0.792708:3,0.465814:5,0.424778:3,0.766459}):{3,0.0433916});
109000	{3,1.00614:5,0.386826:3,2.07687}	{4,0.0171133:7,0.618789:6,0.183204:3,2.65073}	{4,0.742466:2,0.848947:4,0.772199:1,0.443462:5,0.595359:3,0.286538}	{3,0.219134}	{3,0}	(n1:{4,0.742466:2,0.848947:4,0.772199:1,0.443462:5,0.595359:3,0.286538},(n2:{3,1.00614:5,0.386826:3,2.07687},n0:{4,0.0171133:7,0.618789:6,0.183204:3,2.65073}):{3,0.219134});
109100	{3,2.55799:6,0.188748:7,0.197681:5,0.05134:3,0.114284}	{4,0.83682:7,0.416845:6,0.317576:3,1.46901}	{4,0.390862:7,0.233556:4,0.661256:1,0.175244:5,0.0904307:3,1.4889}	{3,0.0697875}	{3,0}	((n0:{4,0.83682:7,0.416845:6,0.317576:3,1.46901},n1:{4,0.390862:7,0.233556:4,0.661256:1,0.175244:5,0.0904307:3,1.4889}):{3,0.0697875},n2:{3,2.55799:6,0.188748:7,0.197681:5,0.05134:3,0.114284});
109200	{3,0.404226:5,0.33267:1,1.44431:4,0.0479826:2,0.190011:6,0.265136:3,0.896831}	{4,0.448994:1,0.0936151:5,0.102675:3,1.64327:6,0.507633:2,0.403255:6,0.567365:3,0.166518}	{4,0.154776:2,2.19627:6,0.0685802:3,1.16154}	{3,0.352158}	{3,0}	((n2:{3,0.404226:5,0.33267:1,1.44431:4,0.0479826:2,0.190011:6,0.265136:3,0.896831},n1:{4,0.154776:2,2.19627:6,0.0685802:3,1.16154}):{3,0.352158},n0:{4,0.448994:1,0.0936151:5,0.102675:3,1.64327:6,0.507633:2,0.403255:6,0.567365:3,0.166518});
109300	{3,2.32971}	{4,0.700384:7,0.806739:6,0.486604:3,0.335982}	{4,0.257515:1,1.59306:5,0.0134766:3,1.29364}	{3,0.54486:5,0.193688:3,0.0894382}	{3,0}	((n0:{4,0.700384:7,0.806739:6,0.486604:3,0.335982},n2:{3,2.32971}):{3,0.54486:5,0.193688:3,0.0894382},n1:{4,0.257515:1,1.59306:5,0.0134766:3,1.29364});
