Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
4700	-17611.95	-17603.71	-8.245896	2.686595	0.247831	0.248764	0.250124	0.253281	0.04012811	0.416875	0.184782	2.23901	0.954275	0.00327196	0.00145031	0.0175735	0.00748988	0.859657	0.140343	0.006011127	1.40657	2.9615	0	0.7488187	3.779237	1	1	1	2.279744	0.1403434	0.8596566	0.007848764	3.779237	0.363463	0.712553	1.08046	1.84352
4800	-17615.32	-17608.94	-6.386071	16.94901	0.249175	0.245905	0.251744	0.253177	0.05592527	0.334535	0.247316	1.1382	0.662631	0.00438219	0.00323968	0.0149097	0.00868003	0.905388	0.0946124	0.01623792	2.2502	0.183865	0	0.6618697	3.254338	1	1	1	1.908791	0.09461241	0.9053876	0.01309934	3.254338	0.710336	0.905222	1.06119	1.32326
4900	-17611.82	-17603.93	-7.892579	48.80157	0.252705	0.243527	0.251735	0.252034	0.03497114	0.667782	0.612745	2.14433	0.190998	0.00405281	0.00371879	0.013014	0.00115918	0.862942	0.137058	0.00122801	1.18287	1.00746	0	0.8616978	3.774369	1	1	1	2.36245	0.1370576	0.8629424	0.006069059	3.774369	0.824363	0.947857	1.04045	1.18733
5000	-17616.31	-17606.92	-9.394923	31.59828	0.244357	0.258327	0.24838	0.248936	0.01794521	0.826194	0.723357	2.57893	0.461414	0.00418365	0.00366291	0.0130591	0.00233649	0.953835	0.0461647	0.02410699	1.22318	1.37748	0	0.7553344	3.573777	1	1	1	2.298306	0.04616467	0.9538353	0.005063764	3.573777	0.783802	0.933563	1.04839	1.23425
5100	-17617.99	-17604.38	-13.61285	39.54307	0.246798	0.252165	0.252571	0.248467	0.02247196	1.7212	1.8655	3.75981	0.897494	0.00510856	0.00553684	0.0111592	0.00266378	0.594537	0.405463	0.01109082	2.90659	2.51594	0	1.249782	3.746789	1	1	1	2.265638	0.405463	0.594537	0.002968022	3.746789	0.805722	0.941402	1.04417	1.20871
5200	-17616.57	-17605.66	-10.91321	31.60838	0.246152	0.253092	0.247879	0.252877	0.04550024	1.34614	1.39	2.75699	0.650511	0.00630922	0.00651481	0.0129217	0.00304888	0.100236	0.899764	0.004723167	1.9014	1.79409	0	0.7479647	3.269652	1	1	1	2.434487	0.8997638	0.1002362	0.004686904	3.269652	0.783834	0.933575	1.04838	1.23421
5300	-17618.36	-17606.97	-11.39396	4.21077	0.248954	0.250507	0.241143	0.259395	0.07772451	1.29044	1.5279	1.95177	0.697295	0.00716542	0.00848393	0.0108376	0.00387186	0.0127606	0.987239	0.07320371	2.34428	2.10626	0	0.6972525	3.726022	1	1	1	2.242697	0.9872394	0.01276063	0.005552687	3.726022	0.465579	0.782196	1.08431	1.66791
5400	-17615.83	-17606.06	-9.769884	49.87524	0.251396	0.243913	0.245486	0.259205	0.002607659	0.474757	0.61458	1.52231	0.197864	0.00418387	0.00541609	0.0134156	0.00174371	0.785413	0.214587	0.05372495	2.05948	0.392671	0	0.9402409	3.452177	1	1	1	2.041679	0.2145873	0.7854127	0.008812671	3.452177	0.826191	0.94848	1.04008	1.18525
5500	-17613.96	-17603.3	-10.66083	35.83627	0.2533	0.243434	0.246675	0.256591	0.01619547	0.470479	0.46168	2.27509	0.248128	0.00280633	0.00275384	0.0135706	0.00148004	0.914589	0.0854106	0.04363288	2.17446	1.77556	0	2.085007	3.72497	1	1	1	2.099211	0.08541055	0.9145894	0.005964835	3.72497	0.796373	0.938091	1.04599	1.21955
5600	-17612.6	-17605.3	-7.306493	26.79683	0.243522	0.251634	0.248586	0.256258	0.1204337	0.32391	0.32514	1.3722	0.137458	0.00364005	0.00365387	0.0154206	0.00154473	0.58955	0.41045	0.005174768	0.598218	1.81029	0	0.3816145	3.262505	1	1	1	2.048737	0.41045	0.58955	0.01123784	3.262505	0.766243	0.927085	1.05164	1.25503
5700	-17611.57	-17605.27	-6.301944	12.46307	0.252074	0.24842	0.249903	0.249603	0.1239613	0.304803	0.365711	0.99127	0.271447	0.00364674	0.00437546	0.0118598	0.00324766	0.859539	0.140461	0.02160692	1.98482	1.31126	0	0.5302512	3.934543	1	1	1	1.830109	0.140461	0.859539	0.01196424	3.934543	0.666383	0.886622	1.06776	1.37923
5800	-17616.2	-17607.41	-8.78966	3.370745	0.243825	0.24308	0.256603	0.256492	0.1276143	0.201051	0.232727	1.23706	0.357242	0.00265633	0.00307486	0.0163443	0.00471997	0.898683	0.101317	0.08476323	0.946163	0.528844	0	0.9320871	3.591044	1	1	1	2.446081	0.101317	0.898683	0.01321227	3.591044	0.416054	0.750188	1.08382	1.74994
5900	-17619.69	-17605.45	-14.23456	33.90422	0.241702	0.244596	0.256352	0.25735	0.04922462	0.199242	0.331834	1.27654	1.69936	0.00221589	0.00369053	0.0141972	0.0188997	0.780153	0.219847	0.1649631	3.32407	2.80636	0	2.420534	3.480848	1	1	1	2.134372	0.2198467	0.7801533	0.01112161	3.480848	0.790924	0.936139	1.04703	1.2259
6000	-17615.01	-17603.39	-11.62436	5.968596	0.246671	0.249897	0.257211	0.246221	0.1287716	0.111941	0.137372	0.572032	0.563521	0.00254109	0.00311836	0.0129852	0.0127921	0.575336	0.424664	0.1620932	1.79899	1.35842	0	1.812347	3.820502	1	1	1	2.087485	0.4246638	0.5753362	0.02270022	3.820502	0.53793	0.824003	1.08133	1.55674
