Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
3500	-17391.94	-17375.04	-16.89245	19.17494	0.250949	0.242178	0.255393	0.251481	0.170949	0.291126	0.578224	1.64503	3.11042	0.001429	0.00283822	0.00807466	0.0152676	0.724282	0.275718	0.01230661	0.02179603	0.348386	0	0.3691143	3.384068	1	1	1.21828	0.2757182	0.7242818	14.64034	0.004908518	3.384068	0.72648	0.911735	1.05856	1.30323
3600	-17393.31	-17376.03	-17.27565	37.85479	0.249041	0.249222	0.251716	0.25002	0.03916906	0.274986	0.349246	1.13805	2.35871	0.00186969	0.00237459	0.00773782	0.0160373	0.755087	0.244913	0.05595173	0.03115762	0.312641	0	1.447827	3.697048	1	1	1.384931	0.2449131	0.7550869	51.62249	0.006799194	3.697048	0.801629	0.939958	1.04497	1.21344
3700	-17389	-17373.75	-15.252	49.97178	0.246851	0.253391	0.255391	0.244367	0.008922439	0.0643611	0.131901	0.44712	0.8276	0.00107727	0.00220774	0.00748386	0.0138523	0.835653	0.164347	0.01169746	0.02924088	0.16788	0	0.4099929	3.866188	1	1	1.334843	0.164347	0.835653	39.05695	0.01673794	3.866188	0.826353	0.948535	1.04004	1.18507
3800	-17389.77	-17373.21	-16.56026	25.97045	0.251244	0.246873	0.245578	0.256304	0.2168171	0.184087	0.195208	1.51992	0.975193	0.00156845	0.0016632	0.0129499	0.0083088	0.756725	0.243275	0.02166058	0.02586605	0.164952	0	0.599695	3.84057	1	1	1.326605	0.243275	0.756725	90.3299	0.008520162	3.84057	0.76276	0.925779	1.05227	1.25919
3900	-17394.32	-17377.9	-16.41661	16.82503	0.245598	0.240516	0.256928	0.256958	0.06058719	0.107293	0.472179	1.52358	0.441512	0.00125755	0.00553425	0.0178574	0.00517481	0.925845	0.074155	0.01190752	0.009391436	0.144343	0	1.573978	3.271355	1	1	1.588425	0.07415496	0.925845	88.10047	0.01172065	3.271355	0.709349	0.904819	1.06134	1.32449
4000	-17392.86	-17372.58	-20.2783	2.336911	0.247222	0.248216	0.247874	0.256689	0.2218942	0.0615596	0.0902269	2.35995	0.637961	0.000454279	0.00066583	0.0174153	0.00470784	0.788239	0.211761	0.1687672	0.0116573	1.13471	0	0.7102804	3.837621	1	1	1.347013	0.2117606	0.7882394	75.09478	0.007379508	3.837621	0.330428	0.686643	1.07652	1.90641
4100	-17397.33	-17376.27	-21.06094	6.228178	0.255741	0.24872	0.251531	0.244007	0.03547394	0.160287	0.340717	1.98154	0.953846	0.00134132	0.0028512	0.016582	0.007982	0.685099	0.314901	0.2827959	0.01745837	0.707288	0	1.337283	3.460378	1	1	1.312923	0.3149013	0.6850987	96.49124	0.008368235	3.460378	0.54627	0.828489	1.08074	1.5445
4200	-17387.45	-17372.92	-14.5343	44.86569	0.246412	0.248678	0.251888	0.253022	0.08260768	0.155509	0.18759	3.42234	0.821997	0.00099458	0.00119976	0.0218881	0.00525721	0.821697	0.178303	0.009660696	0.003246864	0.61228	0	1.244742	3.039705	1	1	1.329703	0.178303	0.821697	8.263133	0.006395658	3.039705	0.817125	0.945373	1.04191	1.1956
4300	-17386.1	-17374.5	-11.60268	13.26565	0.247475	0.246223	0.249731	0.256571	0.07961797	0.0923821	0.191641	2.98411	0.428713	0.000568885	0.00118011	0.018376	0.00263999	0.523229	0.476771	0.02052709	0.002322229	0.523763	0	0.4610364	3.630697	1	1	1.221594	0.4767706	0.5232294	1.148612	0.006157952	3.630697	0.675748	0.890696	1.06643	1.36712
4400	-17395.66	-17378.57	-17.08987	48.26933	0.254986	0.235958	0.254675	0.254381	0.1864143	0.0723633	0.0915397	2.97815	0.561174	0.000503428	0.000636837	0.0207188	0.00390406	0.879989	0.120011	0.01073128	0.008381486	1.16484	0	0.9986839	3.657608	1	1	1.324958	0.1200106	0.8799894	29.60634	0.006956949	3.657608	0.823435	0.94754	1.04063	1.18839
