Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
4300	-17383.76	-17374.93	-8.832549	5.74205	0.253325	0.246869	0.244046	0.255761	0.08557279	0.359016	0.783104	0.321414	5.666	0.00130484	0.00284618	0.00116818	0.020593	0.460507	0.539493	0.005953871	0.195141	1.03751	0	0.3974437	3.876966	1	1	1	1.247554	0.5394931	0.4605069	0.003634491	3.876966	0.530255	0.819817	1.08183	1.5681
4400	-17386.85	-17375.48	-11.3694	35.67925	0.248462	0.254613	0.250995	0.24593	0.2388612	0.528168	0.979872	0.132041	8.04751	0.00158848	0.00294698	0.000397117	0.024203	0.189367	0.810633	0.0008250088	0.136113	1.82135	0	0.9114589	3.258705	1	1	1	1.229974	0.8106327	0.1893673	0.003007517	3.258705	0.795946	0.937939	1.04607	1.22004
4500	-17388.89	-17374.15	-14.73879	13.72745	0.252757	0.249404	0.248294	0.249546	0.1239562	0.469864	0.473001	2.02937	5.73278	0.00144318	0.00145281	0.00623317	0.0176081	0.278549	0.721451	0.02413817	1.13809	0.509094	0	2.767424	3.751393	1	1	1	1.329185	0.7214508	0.2785492	0.003071481	3.751393	0.680786	0.892862	1.0657	1.36065
4600	-17385.69	-17374.62	-11.07581	31.82549	0.250491	0.245739	0.24871	0.25506	0.1770026	0.619913	1.12415	0.269977	6.57528	0.00208782	0.00378605	0.000909262	0.0221451	0.928846	0.0711543	0.05966463	2.41243	1.08518	0	0.8016451	3.48223	1	1	1	1.234765	0.07115426	0.9288457	0.003367926	3.48223	0.784536	0.93383	1.04825	1.23339
4700	-17390.39	-17376.38	-14.01557	7.306244	0.253465	0.241933	0.256389	0.248212	0.1347395	1.39743	2.07861	0.414156	8.98534	0.00367234	0.00546242	0.00108837	0.0236128	0.530531	0.469469	0.02069349	1.47419	0.922476	0	1.068801	3.305471	1	1	1	1.45523	0.4694693	0.5305307	0.002627923	3.305471	0.576553	0.844252	1.07824	1.50095
4800	-17386.69	-17375.16	-11.53126	32.214	0.249296	0.243894	0.257029	0.249781	0.1340597	0.474537	0.668253	0.632173	7.99875	0.00118714	0.00167175	0.00158149	0.0200103	0.185072	0.814928	0.001287117	3.19708	3.28878	0	1.711888	3.886302	1	1	1	1.233917	0.8149284	0.1850716	0.002501676	3.886302	0.785775	0.93428	1.04801	1.23193
4900	-17383.49	-17374.41	-9.083326	36.8447	0.250949	0.247589	0.24835	0.253111	0.1163636	0.242437	0.296518	0.220312	5.71945	0.00114051	0.00139492	0.00103642	0.0269063	0.46613	0.53387	0.01473812	0.893087	1.72626	0	1.406295	3.576567	1	1	1	1.310775	0.5338697	0.4661303	0.004704352	3.576567	0.799051	0.939044	1.04547	1.21643
5000	-17384.9	-17375.32	-9.575564	32.4844	0.255642	0.244339	0.248057	0.251961	0.06493467	0.314886	0.282363	0.420608	7.22425	0.00121725	0.00109152	0.00162594	0.0279266	0.981509	0.0184906	0.01364136	0.292117	0.298717	0	1.489023	3.426163	1	1	1	1.209336	0.01849058	0.9815094	0.00386568	3.426163	0.786625	0.934588	1.04785	1.23094
5100	-17390.61	-17374.76	-15.84314	13.00803	0.249082	0.251822	0.251937	0.24716	0.03536176	0.184297	0.261995	3.21818	12.5706	0.000403812	0.000574055	0.00705133	0.0275433	0.713713	0.286287	0.1352309	2.42047	3.38404	0	0.828554	3.834213	1	1	1	1.27574	0.2862867	0.7137133	0.002191092	3.834213	0.67283	0.889433	1.06685	1.37089
5200	-17390.99	-17380.57	-10.42296	6.809893	0.260008	0.24571	0.246789	0.247494	0.02917522	0.331785	0.274478	0.202592	13.5463	0.000969435	0.000801989	0.000591948	0.0395805	0.578934	0.421066	0.001598523	0.112254	3.01027	0	0.7652909	3.898204	1	1	1	1.268719	0.4210656	0.5789344	0.002921873	3.898204	0.563402	0.837505	1.0794	1.5197
5300	-17387.31	-17375.25	-12.06069	21.61498	0.256227	0.240926	0.249656	0.253191	0.127526	0.0753494	0.133804	1.28411	6.16137	0.000356828	0.000633647	0.00608109	0.0291781	0.718357	0.281643	0.04580128	1.64935	0.638936	0	0.380994	3.824967	1	1	1	1.349533	0.2816428	0.7183572	0.004735653	3.824967	0.74137	0.917596	1.05604	1.28499
5400	-17386.15	-17373.84	-12.30635	23.13282	0.248762	0.247537	0.25263	0.251071	0.09719148	0.171131	0.21516	0.55719	5.63304	0.00072166	0.000907331	0.00234968	0.0237546	0.470982	0.529018	0.158996	1.9574	3.29586	0	1.728863	3.6717	1	1	1	1.383667	0.529018	0.470982	0.004217015	3.6717	0.749476	0.920729	1.05463	1.27516
