Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
44800	1	4	1	4	3	3	3	1	3	3
44900	2	4	2	4	3	3	3	2	3	3
45000	1	4	1	4	3	3	3	1	3	3
45100	1	4	1	4	3	3	3	1	3	3
45200	3	4	3	4	3	3	3	3	3	3
45300	2	4	3	4	3	3	3	6	3	3
45400	6	4	2	4	3	3	3	6	3	3
45500	2	4	2	4	3	3	3	2	3	3
45600	3	4	3	4	3	3	3	3	3	3
45700	3	4	6	4	3	3	3	6	3	3
45800	2	4	2	4	3	3	3	2	3	3
45900	1	4	1	4	3	3	3	1	3	3
46000	2	4	2	4	3	3	3	2	3	3
46100	2	4	2	4	3	3	3	2	3	3
46200	2	4	2	4	3	3	3	2	3	3
46300	2	4	2	4	3	3	3	2	3	3
46400	3	4	3	4	3	3	3	3	3	3
46500	1	4	1	4	3	3	3	1	3	3
46600	1	4	1	4	3	3	3	1	3	3
46700	2	4	2	4	3	3	3	2	3	3
46800	2	4	2	4	3	3	3	2	3	3
46900	1	4	6	4	3	3	3	7	3	3
47000	3	4	3	4	3	3	3	3	3	3
47100	1	4	2	4	3	3	3	4	3	3
47200	1	4	5	4	3	3	3	5	3	3
47300	2	4	2	4	3	3	3	2	3	3
47400	1	4	1	4	3	3	3	1	3	3
47500	1	4	1	4	3	3	3	1	3	3
47600	3	4	3	4	3	3	3	3	3	3
47700	1	4	6	4	3	3	3	7	3	3
47800	2	4	2	4	3	3	3	2	3	3
47900	2	4	1	4	3	3	3	4	3	3
48000	2	4	6	4	3	3	3	6	3	3
48100	4	4	1	4	3	3	3	4	3	3
48200	3	4	3	4	3	3	3	3	3	3
48300	3	4	3	4	3	3	3	3	3	3
48400	3	4	3	4	3	3	3	3	3	3
48500	2	4	1	4	3	3	3	4	3	3
48600	2	4	2	4	3	3	3	2	3	3
48700	3	4	3	4	3	3	3	3	3	3
48800	3	4	3	4	3	3	3	3	3	3
48900	1	4	1	4	3	3	3	1	3	3
49000	2	4	2	4	3	3	3	2	3	3
49100	2	4	2	4	3	3	3	2	3	3
49200	2	4	6	4	3	3	3	6	3	3
49300	6	4	1	4	3	3	3	7	3	3
49400	2	4	6	4	3	3	3	6	3	3
49500	1	4	1	4	3	3	3	1	3	3
49600	2	4	2	4	3	3	3	2	3	3
49700	2	4	2	4	3	3	3	2	3	3
49800	1	4	1	4	3	3	3	1	3	3
49900	2	4	2	4	3	3	3	2	3	3
50000	1	4	3	4	3	3	3	5	3	3
50100	2	4	2	4	3	3	3	2	3	3
50200	3	4	3	4	3	3	3	3	3	3
50300	3	4	3	4	3	3	3	3	3	3
