Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
3500	-25846.33	-25819.54	-26.78892	48.76298	0.245601	0.245434	0.252183	0.256782	0.12082	2.2707	2.4682	0.642753	1.16254	0.460836	1.91522	0.0281195	0.0305653	0.00795962	0.0143964	0.00570683	0.0237174	0.59072	0.40928	0.02793102	0.01199761	10.1505	8.02674	2.02323	0	1.445309	7.885907	0	0	1	1	2.133965	0.4092802	0.5907198	22.23706	0.01238364	8.412198	0.824296	0.947834	1.04046	1.18741
3600	-25841.7	-25818.19	-23.50627	14.54586	0.247692	0.251531	0.244673	0.256104	0.1401939	1.52805	1.71671	0.55853	1.29814	0.413932	0.0983001	0.0192506	0.0216274	0.00703647	0.0163543	0.00521479	0.0012384	0.188553	0.811447	0.04153554	0.0005184232	10.0939	8.19323	1.9875	0	0.7893795	9.037687	0	1	1	1	1.972292	0.8114474	0.1885526	16.97666	0.01259819	9.037687	0.689156	0.896422	1.06446	1.34996
3700	-25843.23	-25817.2	-26.02643	16.27229	0.243048	0.25529	0.247784	0.253877	0.06403909	1.57248	1.94761	0.794798	1.70259	0.473043	1.97197	0.0133811	0.0165732	0.00676336	0.0144882	0.00402538	0.0167806	0.153521	0.846479	0.04384151	0.006363764	9.95276	8.07785	1.93449	0	1.284773	9.875607	0	1	1	1	2.140849	0.8464793	0.1535207	39.61393	0.008509536	9.875607	0.704821	0.902959	1.06206	1.33016
3800	-25840.25	-25815.92	-24.32724	42.9939	0.247587	0.249987	0.245271	0.257155	0.1702105	1.60675	1.7643	0.687844	1.5963	0.470256	0.717243	0.0150921	0.016572	0.00646089	0.014994	0.0044171	0.00673703	0.470111	0.529889	0.009535862	0.001010634	10.0721	8.02171	2.05709	0	0.4914218	9.713648	0	1	1	1	2.127642	0.5298891	0.4701109	36.00354	0.009392957	9.713648	0.81335	0.944066	1.04266	1.19992
3900	-25843.08	-25816.99	-26.09104	24.11272	0.243049	0.246818	0.255749	0.254383	0.1412959	1.46295	1.65679	0.698611	1.55016	0.250879	1.85132	0.0141291	0.0160012	0.00674712	0.0149714	0.00242297	0.0178799	0.584903	0.415097	0.01404404	0.004888667	10.1374	8.14014	2.0069	0	0.4389436	10.43801	1	1	1	1	2.117149	0.4150971	0.5849029	25.55871	0.009657919	10.43801	0.754316	0.922581	1.05378	1.26932
4000	-25843.92	-25818.55	-25.37889	14.77478	0.24832	0.245298	0.252552	0.253831	0.08644374	1.17196	1.45168	0.655857	1.39276	0.426264	0.753845	0.0124883	0.0154689	0.00698871	0.014841	0.0045422	0.00803286	0.471294	0.528706	0.06679629	5.512564e-05	10.2186	8.03717	2.10254	0	0.5704552	9.92496	0	1	1	1	2.0766	0.5287058	0.4712942	49.37631	0.01065585	9.92496	0.69138	0.89736	1.06413	1.34713
4100	-25841.37	-25818.62	-22.75146	40.32008	0.248969	0.252193	0.250063	0.248775	0.07476001	1.49896	1.4077	0.636439	1.6598	0.543929	0.137733	0.0144393	0.0135601	0.00613072	0.0159886	0.00523959	0.00132676	0.0976556	0.902344	0.0466788	0.0001312631	10.0384	7.88497	2.00026	0	0.4154632	9.453736	0	1	1	1	1.997029	0.9023444	0.09765565	46.1048	0.009632857	9.453736	0.807522	0.942033	1.04381	1.20663
4200	-25847.09	-25821.84	-25.24327	18.16276	0.242624	0.252514	0.2465	0.258362	0.09462604	1.07196	1.31615	0.812118	1.80981	0.603951	0.128168	0.00922972	0.0113322	0.00699244	0.0155827	0.00520009	0.00110354	0.594949	0.405051	0.08186462	0.0002378871	10.0417	7.97539	1.85789	0	1.520013	9.186724	0	1	1	1	2.094254	0.4050511	0.5949489	71.73419	0.008610129	9.186724	0.719487	0.908934	1.05971	1.31187
4300	-25841.91	-25814.37	-27.53862	25.4474	0.245525	0.251616	0.249604	0.253256	0.1259554	1.60328	1.94217	1.30903	1.93495	1.11958	0.859613	0.0100981	0.0122326	0.00824482	0.0121871	0.00705161	0.00541421	0.788723	0.211277	0.02185357	0.01187007	9.9421	8.08584	2.13731	0	1.134975	7.769104	0	0	1	1	2.102384	0.2112766	0.7887234	56.51243	0.006298432	10.2243	0.760472	0.924917	1.05268	1.26193
4400	-25848.1	-25814.99	-33.10925	26.22294	0.247658	0.250763	0.252188	0.249391	0.1882174	1.43704	1.66283	0.924176	1.72191	0.812118	0.189269	0.0114149	0.0132085	0.00734106	0.0136777	0.00645095	0.00150343	0.799986	0.200014	0.2112359	0.006175416	10.1288	8.19107	2.2414	0	0.9986036	8.175912	0	0	1	1	2.12397	0.2000143	0.7999857	37.45856	0.00794336	10.02507	0.763841	0.926185	1.05207	1.2579
